[2020-01-03 05:22:38] main.ERROR: Error: Application is not installed yet.  [] []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
